gene_name,gene_title,chr,logFC,stars,meta.q,AveExpr0,AveExpr1,UP/DOWN
Rassf9,Ras association (RalGDS/AF-6) domain family (N-ter...,10,3.820295617,★,3.94E-09,0.872524814,4.692820431,UP
Klf15,Kruppel-like factor 15,6,3.624279489,★,3.94E-09,0.272406483,3.896685972,UP
Dbp,D site albumin promoter binding protein,7,3.116474216,★,7.84E-08,2.176048575,5.292522791,UP
Ubr5,ubiquitin protein ligase E3 component n-recognin 5,15,2.577447869,★,0.014949956,1.046590439,3.624038308,UP
Tmem214,transmembrane protein 214,5,2.535815252,★,0.000158469,0.655265347,3.191080599,UP
Ifi27l2a,"interferon, alpha-inducible protein 27 like 2A",12,-2.532198763,★,3.46E-07,6.816494884,4.284296121,DOWN
Nr1d1,"nuclear receptor subfamily 1, group D, member 1",11,2.407703203,★,3.94E-09,7.27865791,9.686361112,UP
Pcdhgc4,"protocadherin gamma subfamily C, 4",18,2.366207961,★,4.47E-05,2.354048266,4.720256227,UP
Pth1r,parathyroid hormone 1 receptor,9,2.326695013,★,0.000158469,0.241216735,2.567911749,UP
Nfkb2,nuclear factor of kappa light polypeptide gene enh...,19,2.306165324,★,0.001091624,1.064615442,3.370780766,UP
Map6,microtubule-associated protein 6,7,2.288538076,★,0.021182962,1.807150225,4.095688301,UP
Alpl,"alkaline phosphatase, liver/bone/kidney",4,2.284998228,★,1.40E-06,6.377487258,8.662485486,UP
Rprd2,regulation of nuclear pre-mRNA domain containing 2,3,-2.261074098,★,0.000568161,3.674078286,1.413004189,DOWN
Cyp27a1,"cytochrome P450, family 27, subfamily a, polypepti...",1,2.236341558,★,0.000368309,1.45171624,3.688057798,UP
Cyp1a1,"cytochrome P450, family 1, subfamily a, polypeptid...",9,2.159665781,★,0.002777904,3.886252457,6.045918238,UP
Cfd,complement factor D (adipsin),10,-2.127257798,★,0.002777904,2.911292017,0.784034219,DOWN
Tbc1d5,"TBC1 domain family, member 5",17,2.096794382,★,0.000736893,1.460933521,3.557727903,UP
Ciart,circadian associated repressor of transcription,3,2.093681211,★,0.00062483,1.236870968,3.330552178,UP
Slc15a2,"solute carrier family 15 (H+/peptide transporter),...",16,2.079476988,★,0.000442832,1.993527642,4.073004631,UP
Gpx3,glutathione peroxidase 3,11,2.033671696,★,0.026838706,3.5516922,5.585363896,UP
Lrat,lecithin-retinol acyltransferase (phosphatidylchol...,3,2.024714207,★,0.002333477,1.896245604,3.92095981,UP
Xrcc1,X-ray repair complementing defective repair in Chi...,7,2.000336809,★,0.000471708,2.377148007,4.377484816,UP
Rbp7,"retinol binding protein 7, cellular",4,-1.942906982,★,2.19E-06,8.851361495,6.908454513,DOWN
E4f1,E4F transcription factor 1,17,1.929509493,★,0.002005685,0.648725035,2.578234528,UP
Cd74,CD74 antigen (invariant polypeptide of major histo...,18,1.910407603,★,0.002408529,0.696334836,2.606742439,UP
Cry2,cryptochrome 2 (photolyase-like),2,1.882993328,★,2.66E-05,4.79843784,6.681431168,UP
Plxdc1,plexin domain containing 1,11,1.875792902,★,0.002777904,1.226808951,3.102601853,UP
Slc4a7,"solute carrier family 4, sodium bicarbonate cotran...",14,-1.856401564,★,0.006550588,3.634839198,1.778437633,DOWN
4930503L19Rik,RIKEN cDNA 4930503L19 gene,18,1.84086157,★,0.004878072,0.687901098,2.528762668,UP
Kcnb1,"potassium voltage gated channel, Shab-related subf...",2,1.833787326,★,0.006504794,0.5738951,2.407682427,UP
Aplp2,amyloid beta (A4) precursor-like protein 2,9,1.819653254,★,0.001249212,6.637748853,8.457402107,UP
Zc3h4,zinc finger CCCH-type containing 4,7,1.807686166,★,0.005632142,1.057220621,2.864906787,UP
Arap3,"ArfGAP with RhoGAP domain, ankyrin repeat and PH d...",18,1.804924948,★,0.000442832,3.648928679,5.453853626,UP
Trp53i11,transformation related protein 53 inducible protei...,2,1.803738472,★,0.000366251,6.196341257,8.000079728,UP
Ltbp1,latent transforming growth factor beta binding pro...,17,1.79331421,★,0.035545784,3.812150405,5.605464615,UP
Sez6,seizure related gene 6,11,1.790605178,★,0.002497031,3.656352922,5.4469581,UP
Ddx54,DEAD box helicase 54,5,1.789163271,★,0.000568161,3.399722361,5.188885632,UP
Plekhg3,"pleckstrin homology domain containing, family G (w...",12,1.768898743,★,0.005180791,0.672749066,2.44164781,UP
H2-Q7,"histocompatibility 2, Q region locus 7",17,1.757394666,★,0.043259912,7.55416581,9.311560476,UP
Unc45a,unc-45 myosin chaperone A,7,1.744798709,★,0.002005685,2.462592128,4.207390837,UP
Heatr5b,HEAT repeat containing 5B,17,1.736808156,★,0.004952036,0.329874823,2.06668298,UP
Tnfsf13,"tumor necrosis factor (ligand) superfamily, member...",11,-1.735949012,★,0.021324082,2.765524941,1.02957593,DOWN
4921507P07Rik,RIKEN cDNA 4921507P07 gene,6,1.7267181,★,0.002754523,0.960040597,2.686758697,UP
Atp2a3,"ATPase, Ca++ transporting, ubiquitous",11,1.714136445,★,0.000255,4.770084785,6.484221229,UP
L1cam,L1 cell adhesion molecule,X,1.711987711,★,0.000568161,3.286548534,4.998536244,UP
Pcdhgb7,"protocadherin gamma subfamily B, 7",18,1.699929527,★,0.007160869,1.456559309,3.156488836,UP
Slit3,slit guidance ligand 3,11,1.696929487,★,0.00792486,1.540689297,3.237618784,UP
Adh1,alcohol dehydrogenase 1 (class I),3,1.687477475,★,2.80E-06,8.794243543,10.48172102,UP
Obscn,"obscurin, cytoskeletal calmodulin and titin-intera...",11,1.684704524,★,0.002777904,1.700310157,3.385014681,UP
Fads1,fatty acid desaturase 1,19,1.681585833,★,0.018886748,2.697416102,4.379001935,UP
Per2,period circadian clock 2,1,1.678475718,★,0.005105473,0.752468873,2.430944591,UP
Bhlhe40,"basic helix-loop-helix family, member e40",6,1.67339712,★,0.000736893,4.317298612,5.990695732,UP
Vti1a,vesicle transport through interaction with t-SNARE...,19,1.668462994,★,0.002199959,1.995198069,3.663661062,UP
Cdkn2aip,CDKN2A interacting protein,8,-1.666535247,★,0.007741602,3.028197626,1.36166238,DOWN
Fmod,fibromodulin,1,1.660067494,★,0.012639816,0.587116306,2.2471838,UP
Pla2g7,"phospholipase A2, group VII (platelet-activating f...",17,1.658537668,★,0.005341783,0.971813207,2.630350875,UP
Gaa,"glucosidase, alpha, acid",11,1.657557855,★,0.001080666,3.647561925,5.30511978,UP
Pcdhgb2,"protocadherin gamma subfamily B, 2",18,1.653620087,★,0.016512782,1.544174232,3.197794319,UP
Aldh1l1,"aldehyde dehydrogenase 1 family, member L1",6,1.648534058,★,0.000273269,5.109234388,6.757768446,UP
Rtn1,reticulon 1,12,1.645752505,★,0.000436173,4.138938856,5.784691361,UP
Gns,glucosamine (N-acetyl)-6-sulfatase,10,1.633165711,★,0.000736893,3.975926309,5.60909202,UP
Angptl2,angiopoietin-like 2,2,1.629912152,★,0.007487608,1.139163919,2.769076071,UP
Serping1,"serine (or cysteine) peptidase inhibitor, clade G,...",2,1.627304541,★,0.016844911,2.894207287,4.521511828,UP
Hgs,HGF-regulated tyrosine kinase substrate,11,1.625622692,★,0.00169924,3.396905667,5.022528359,UP
Fez1,fasciculation and elongation protein zeta 1 (zygin...,9,1.622179698,★,0.002076909,3.028731362,4.650911059,UP
Ercc2,excision repair cross-complementing rodent repair ...,7,1.607179674,★,0.005523653,1.299022346,2.90620202,UP
Smtn,smoothelin,11,1.606013747,★,0.000436173,5.135770451,6.741784198,UP
Ttyh2,tweety family member 2,11,1.585753567,★,0.001953244,3.087050774,4.672804341,UP
Cyp2d22,"cytochrome P450, family 2, subfamily d, polypeptid...",15,1.58435577,★,2.66E-05,7.367743632,8.952099403,UP
Cd2ap,CD2-associated protein,17,1.566425764,★,0.009840522,3.238322074,4.804747839,UP
Spata2l,spermatogenesis associated 2-like,8,1.559990833,★,0.021399476,1.719355638,3.279346471,UP
Selenbp1,selenium binding protein 1,3,1.558910931,★,0.003273812,2.54523579,4.104146722,UP
Fam167b,"family with sequence similarity 167, member B",4,-1.557967248,★,0.025288566,3.561607511,2.003640263,DOWN
Dact2,dishevelled-binding antagonist of beta-catenin 2,17,1.557394932,★,0.010049645,0.608100358,2.16549529,UP
Nos2,"nitric oxide synthase 2, inducible",11,1.55570448,★,0.002777904,3.181812045,4.737516525,UP
