"gene","title","rho","SD","AVG","Young_1","Young_2","Young_3","Young_4","Old_1","Old_2","Old_3"
"Rassf9","Ras association domain family member 9",1,2.332,2.481,0,0,1.457,1.238,4.588,4.756,5.331
"0610009B22Rik",NA,-0.872,0.552,4.823,5.251,5.302,5.467,4.777,4.446,4.588,3.93
"0610009L18Rik",NA,-0.514,0.508,1.971,1.969,2.893,2.336,1.366,1.895,1.742,1.595
"0610010F05Rik",NA,-0.576,0.531,4.186,4.535,4.733,4.759,3.574,3.756,4.351,3.593
"0610010K14Rik",NA,-0.436,0.353,5.834,6.106,5.882,5.979,5.742,6.069,5.977,5.08
"0610030E20Rik",NA,0.116,0.399,3.101,3.39,3.085,2.387,3.261,2.771,3.548,3.266
"1110002L01Rik",NA,-0.517,0.959,1.542,2.753,2.831,0.532,0.949,1.947,0.931,0.85
"1110004F10Rik",NA,-0.519,0.339,7.681,7.486,7.971,8.156,7.72,7.569,7.752,7.114
"1110008P14Rik",NA,-0.587,0.507,4.718,4.763,5.095,5.227,4.686,4.645,4.934,3.675
"1110032A03Rik",NA,0.192,0.283,3.996,4.026,3.834,4.236,3.66,4.337,4.221,3.656
"1110038F14Rik",NA,0.44,0.27,5.208,5.027,4.811,5.505,5.218,5.206,5.592,5.096
"1110051M20Rik",NA,0.698,0.548,3.658,3.417,3.384,3.605,2.846,4.31,4.42,3.625
"1110059E24Rik",NA,-0.747,0.424,7.764,7.952,8.145,8.325,7.615,7.628,7.645,7.037
"1110059G10Rik",NA,-0.741,0.327,5.354,5.461,5.519,5.767,5.469,5.167,5.358,4.734
"1110065P20Rik",NA,-0.566,0.591,3.823,4.385,3.974,4.039,3.765,4.266,3.732,2.599
"1190007I07Rik",NA,-0.308,0.359,3.016,2.865,3.137,3.608,2.843,3.171,3.051,2.44
"1500009L16Rik",NA,-0.005,0.781,0.626,2.138,0,0,0,0.748,1.03,0.469
"1500011B03Rik",NA,-0.011,0.338,4.031,4.196,3.987,3.83,3.956,4.41,4.389,3.448
"1600012H06Rik",NA,0.228,0.355,6.186,6.009,6.561,6.272,5.5,6.494,6.299,6.17
"1600014C10Rik",NA,-0.602,0.441,5.997,6.122,6.79,6.111,5.678,5.476,6.148,5.657
"1700001C19Rik",NA,0.586,0.958,0.885,1.199,0,0.162,0,1.895,2.369,0.567
"1700017B05Rik",NA,0.234,0.583,2.903,3.654,2.151,2.822,2.579,2.812,2.574,3.731
"1700025G04Rik",NA,0.355,0.465,3.615,2.806,3.965,4.012,3.274,3.395,3.89,3.963
"1700028K03Rik",NA,-0.082,0.826,1.114,1.093,1.88,1.435,0,2.237,0.177,0.977
"1700029I15Rik",NA,-0.15,0.535,0.666,0.979,0.545,1.415,0,1.062,0,0.657
"1700030K09Rik",NA,0.211,0.57,2.762,2.163,2.697,3.512,2.428,3.574,2.265,2.693
"1700034J05Rik",NA,0.216,0.834,0.917,0,1.25,1.903,0.178,0,1.742,1.344
"1700037C18Rik",NA,-0.157,0.562,2.833,3.395,2.422,3.428,2.289,3.032,3.2,2.067
"1700037H04Rik",NA,0.122,0.407,3.536,3.506,3.588,4.053,2.789,3.586,3.888,3.342
"1700066M21Rik",NA,-0.435,0.364,4.683,4.66,4.936,5.328,4.344,4.464,4.75,4.297
"1700067K01Rik",NA,0.465,0.557,1.09,0.405,1.383,0.441,1.126,1.947,1.429,0.9
"1700088E04Rik",NA,-0.39,0.7,0.88,0.68,1.73,1.793,0.324,0.056,0.379,1.201
"1700123O20Rik",NA,-0.761,0.543,6.37,6.695,6.766,7.036,6.296,5.822,6.466,5.505
"1810009A15Rik",NA,-0.718,0.528,5.599,5.866,5.772,6.358,5.644,5.478,5.453,4.621
"1810013L24Rik",NA,0.269,0.291,4.645,4.622,4.693,4.825,4.111,4.688,5.059,4.521
"1810024B03Rik",NA,-0.006,0.416,1.031,0.856,1.103,1.808,0.479,0.748,1.119,1.107
"1810030O07Rik",NA,0.554,0.519,4.65,4.321,4.748,4.817,3.806,4.611,4.733,5.515
"1810037I17Rik",NA,-0.81,0.62,7.383,7.685,7.938,8.087,7.391,7.095,7.25,6.238
"1810055G02Rik",NA,0.55,0.764,0.61,0,0,1.365,0,1.331,0,1.571
"1810062G17Rik",NA,-0.618,0.653,1.353,1.708,1.562,1.903,1.693,0,1.562,1.041
"2010315B03Rik",NA,-0.128,0.575,4.523,3.883,4.916,5.571,4.157,4.142,4.632,4.36
"2200002D01Rik",NA,-0.832,0.815,4.268,4.875,4.919,5.087,4.294,3.595,4.275,2.829
"2210016F16Rik",NA,-0.417,0.284,4.888,4.851,5.245,5.061,4.682,5.183,4.708,4.483
"2210016L21Rik",NA,0.758,0.263,4.854,4.632,4.715,4.681,4.713,4.975,5.384,4.882
"2210408I21Rik",NA,0.491,0.717,0.967,0.839,0.571,0,1.27,1.913,0.396,1.779
"2210418O10Rik",NA,-0.435,0.465,2.458,2.036,2.816,3.177,2.682,2.223,1.851,2.423
"2300009A05Rik",NA,-0.3,0.331,3.842,3.75,4.09,3.997,3.759,4.067,4.064,3.166
"2310009B15Rik",NA,-0.732,0.465,3.383,4.196,3.473,3.491,3.293,3.298,3.32,2.609
"2310011J03Rik",NA,-0.252,0.248,6.001,5.902,6.189,6.255,5.842,5.857,6.306,5.657
"2310022A10Rik",NA,-0.452,0.327,3.977,4.674,3.772,3.835,4.017,3.733,4.012,3.798
"2310022B05Rik",NA,0.784,0.452,3.681,3.644,3.315,3.444,3.063,3.996,4.387,3.921
"2310033P09Rik",NA,0.877,0.551,3.408,3.236,2.703,3.277,2.816,4.068,4.033,3.724
"2310039H08Rik",NA,-0.538,0.5,4.821,5.207,4.963,5.014,4.811,4.918,5.107,3.724
"2310057M21Rik",NA,0.298,0.678,1.839,1.421,1.674,2.857,0.809,2.189,2.351,1.572
"2310061I04Rik",NA,0.427,0.573,3.461,3.884,3.488,2.695,2.645,3.619,4.089,3.806
"2410002F23Rik",NA,0.158,0.46,4.163,4.03,4.569,3.412,4.145,4.857,4.163,3.966
"2410004B18Rik",NA,-0.656,0.381,5.136,5.687,5.427,5.302,4.777,4.831,5.262,4.669
"2510002D24Rik",NA,-0.527,0.449,4.35,4.716,4.495,4.613,4.186,4.616,4.414,3.411
"2510009E07Rik",NA,0.501,0.466,4.529,4.091,4.703,4.874,3.719,4.558,4.706,5.053
"2510039O18Rik",NA,0.59,0.301,4.377,4.144,4.533,4.022,4.09,4.81,4.642,4.4
"2610001J05Rik",NA,-0.809,0.596,7.605,7.748,8.23,8.372,7.622,7.243,7.388,6.628
"2610002M06Rik",NA,-0.19,0.269,4.62,4.515,4.657,5.02,4.495,4.437,4.934,4.283
"2610008E11Rik",NA,0.586,0.693,3.31,2.708,3.593,3.071,2.495,2.93,4.308,4.068
"2610042L04Rik",NA,-0.185,0.719,0.836,2.041,0.561,0.646,0.454,0,0.538,1.614
"2610044O15Rik8",NA,-0.486,0.438,5.235,5.31,5.603,5.909,4.758,5.241,5.155,4.668
"2610301B20Rik",NA,0.728,0.59,3.831,3.308,3.396,4.246,3.017,4.499,4.405,3.948
"2610507B11Rik",NA,0.245,0.628,5.128,4.891,5.545,5.272,4.344,4.592,5.029,6.227
"2700049A03Rik",NA,-0.081,0.414,2.536,2.839,2.937,2.527,1.806,2.224,2.508,2.915
"2700062C07Rik",NA,0.268,0.892,1.136,0,1.587,2.265,0.228,0.529,1.33,2.014
"2700081O15Rik",NA,-0.489,0.571,3.133,3.159,3.615,4.063,2.645,2.491,3.262,2.697
"2700097O09Rik",NA,-0.6,0.496,3.275,3.163,3.75,4.049,3.179,2.707,3.352,2.726
"2810004N23Rik",NA,0.02,0.43,2.436,3.046,2.191,2.48,1.937,2.524,1.978,2.895
"2810006K23Rik",NA,0.195,0.304,3.209,3.586,3.152,2.928,2.78,3.587,3.254,3.176
"2810408A11Rik",NA,-0.223,0.577,1.237,2.24,1.178,0.308,1.29,1.468,1.203,0.972
"3110009E18Rik",NA,-0.386,0.437,0.971,0.72,1.111,1.856,0.943,0.86,0.476,0.831
"3110040N11Rik",NA,-0.374,0.401,3.544,3.803,3.332,4.264,3.369,3.129,3.698,3.213
"3110070M22Rik",NA,-0.455,1.064,1.442,2.769,2.075,0,2.099,1.51,0,1.64
"3110082I17Rik",NA,-0.189,0.648,5.246,5.006,5.939,5.738,4.487,5.72,5.52,4.315
"3300002I08Rik",NA,-0.27,0.565,0.729,0.72,1.6,0.674,0.337,0.432,0,1.343
"3830406C13Rik",NA,-0.857,0.878,2.701,3.574,3.098,2.844,3.603,2.217,2.475,1.093
"4430402I18Rik",NA,0.7,0.388,1.635,1.199,1.504,1.142,1.806,1.729,2.257,1.809
"4632404H12Rik",NA,-0.682,0.671,1.751,2.826,1.946,2.156,1.53,0.68,1.362,1.758
"4833420G17Rik",NA,-0.149,0.279,4.013,4.055,4.408,3.852,3.776,3.621,4.259,4.122
"4833439L19Rik",NA,0.384,0.192,7.443,7.287,7.564,7.367,7.244,7.546,7.775,7.318
"4921507P07Rik",NA,0.96,1.099,1.681,0.405,0.94,0.674,1.29,2.775,2.884,2.8
"4921524J17Rik",NA,-0.658,0.413,5.411,5.485,5.621,5.949,5.476,5.288,5.462,4.596
"4930402H24Rik",NA,-0.244,0.362,5.548,5.192,5.848,6.179,5.333,5.66,5.354,5.272
"4930430F08Rik",NA,0.002,0.378,2.486,2.605,2.682,2.577,1.889,3.048,2.467,2.136
"4930432K21Rik",NA,-0.16,0.718,1.473,1.476,1.77,2.402,0.729,1.604,0.334,1.994
"4930453N24Rik",NA,-0.837,0.262,5.862,6.029,6.091,6.226,5.809,5.639,5.742,5.497
"4930481A15Rik",NA,-0.434,0.447,3.267,3.422,3.503,3.91,2.789,3.376,3.282,2.586
"4930486L24Rik",NA,-0.033,0.84,0.492,1.665,0,0,0,1.777,0,0
"4930503L19Rik",NA,0.722,1.411,1.45,0,2.01,0,0,3.014,3.006,2.123
"4930522L14Rik",NA,-0.058,0.555,3.63,3.18,4.332,4.146,2.925,3.264,4.105,3.46
"4930523C07Rik",NA,0.257,0.232,6.894,6.864,7.051,6.993,6.426,6.793,7.061,7.071
"4930550C14Rik",NA,-0.253,0.705,0.982,0.852,1.625,1.89,0,1.324,1.004,0.181
"4930579G24Rik",NA,-0.627,0.482,3.276,3.619,3.577,3.772,3.043,2.799,3.593,2.528
"4931406C07Rik",NA,0.058,0.516,1.938,1.884,2.629,1.961,0.976,1.727,2.276,2.115
"4931414P19Rik",NA,0.897,0.686,1.548,0.856,0.718,1.14,1.547,2.305,2.471,1.802
"4931422A03Rik",NA,-0.871,0.74,2.095,2.401,2.913,2.888,2.207,1.816,1.588,0.851
"4931428F04Rik",NA,0.213,0.549,0.523,1.176,0,0,0.451,0,1.199,0.836
"4932438A13Rik",NA,-0.245,0.583,4.968,4.59,5.695,5.414,4.697,4.006,5.382,4.994
"4933427D14Rik",NA,0.58,0.691,1.373,0.571,1.924,0.703,0.728,2.137,2.044,1.5
"4933434E20Rik",NA,-0.749,0.508,7.553,7.61,7.932,8.304,7.646,7.271,7.407,6.701
"5031439G07Rik",NA,0.458,0.249,3.34,3.285,3.265,3.491,2.969,3.536,3.14,3.693
"5730409E04Rik",NA,-0.459,0.805,3.382,3.186,3.365,4.964,3.493,3.013,3.364,2.289
"5730455P16Rik",NA,-0.173,0.284,3.684,3.443,4.056,3.973,3.455,3.319,3.802,3.737
"5730507C01Rik",NA,0.459,0.26,0.767,0.495,0.466,1.087,0.746,1.133,0.702,0.741
"5830454E08Rik",NA,-0.487,0.736,1.171,1.476,0.94,2.076,1.506,1.727,0,0.47
"6030458C11Rik",NA,-0.544,0.296,3.775,3.649,4.222,3.983,3.82,3.493,3.361,3.896
"6330409D20Rik",NA,-0.355,0.444,0.831,0.72,1.197,0.965,0.941,0.184,1.441,0.366
"6430548M08Rik",NA,0.46,0.698,2.856,2.417,3.358,2.916,1.571,3.06,2.934,3.735
