"name","intersection","A"
"Rassf9","A",4.138
"Klf15","A",4.06
"Dbp","A",3.238
"Ubr5","A",2.888
"Tmem214","A",2.869
"Pth1r","A",2.713
"Nfkb2","A",2.565
"Pcdhgc4","A",2.465
"Cyp27a1","A",2.422
"Map6","A",2.412
"Nr1d1","A",2.411
"Ciart","A",2.298
"Alpl","A",2.291
"Tbc1d5","A",2.286
"E4f1","A",2.227
"Cyp1a1","A",2.199
"Slc15a2","A",2.195
"Cd74","A",2.188
"Lrat","A",2.17
"4930503L19Rik","A",2.137
"Kcnb1","A",2.123
"Xrcc1","A",2.086
"Gpx3","A",2.071
"Zc3h4","A",2.054
"Plxdc1","A",2.05
"Heatr5b","A",2.046
"Plekhg3","A",2.036
"4921507P07Rik","A",1.939
"Per2","A",1.909
"Fmod","A",1.903
"Cry2","A",1.898
"Pcdhgb7","A",1.877
"Pla2g7","A",1.871
"Slit3","A",1.857
"Arap3","A",1.84
"Ltbp1","A",1.835
"Sez6","A",1.83
"Ddx54","A",1.828
"Aplp2","A",1.824
"Unc45a","A",1.823
"Dact2","A",1.812
"Trp53i11","A",1.809
"Obscn","A",1.808
"Angptl2","A",1.805
"Pcdhgb2","A",1.791
"Ercc2","A",1.773
"Vti1a","A",1.768
"Ache","A",1.768
"H2-Q7","A",1.76
"Gga1","A",1.757
"Fads1","A",1.754
"L1cam","A",1.753
"Cdt1","A",1.736
"Atp2a3","A",1.729
"Spata2l","A",1.713
"Tnfrsf19","A",1.711
"Tox2","A",1.699
"Bhlhe40","A",1.694
"Gaa","A",1.689
"Adh1","A",1.688
"Gpatch2l","A",1.683
"Serping1","A",1.68
"Fez1","A",1.672
"Gm8909","A",1.669
"Rtn1","A",1.668
"Hgs","A",1.664
"Aldh1l1","A",1.66
"Gns","A",1.658
"Tpcn2","A",1.657
"Rnf123","A",1.65
"Tchh","A",1.648
"Cpm","A",1.644
"Ttc8","A",1.636
"Eefsec","A",1.633
"Ttyh2","A",1.632
"Kcnc4","A",1.629
"Trim62","A",1.629
"Selenbp1","A",1.627
"Ccm2l","A",1.627
"Prune2","A",1.622
"Cd2ap","A",1.621
"Agtr1a","A",1.62
"Smtn","A",1.617
"Gng7","A",1.615
"Spock2","A",1.608
"Pde4a","A",1.607
"Trappc9","A",1.6
"Nos2","A",1.598
"Pik3cd","A",1.592
"Cyp2d22","A",1.587
"Bdkrb2","A",1.572
"Nlrx1","A",1.57
"C1s1","A",1.562
"Plag1","A",1.555
"Pck2","A",1.551
"Riok1","A",1.537
"Rfx1","A",1.536
"Slc12a7","A",1.526
"Jade2","A",1.525
"Atp1b2","A",1.525
"H2-Ab1","A",1.523
"Scara3","A",1.519
"Ttyh3","A",1.519
"Reck","A",1.514
"Prom1","A",1.511
"Rnf26","A",1.509
"Myl9","A",1.508
"Ppp1r16a","A",1.508
"Fchsd1","A",1.506
"H2-Q4","A",1.497
"Mad1l1","A",1.494
"Ncdn","A",1.492
"Alox12","A",1.487
"Tom1","A",1.486
"Fscn1","A",1.482
"Lrig1","A",1.482
"H6pd","A",1.48
"Ece1","A",1.479
"Tmem201","A",1.472
"Patz1","A",1.47
"Cbx7","A",1.469
"Jup","A",1.465
"Prkcz","A",1.46
"Kit","A",1.459
"Srd5a1","A",1.458
"Vil1","A",1.454
"Tap2","A",1.452
"Prpf6","A",1.449
"Ptpn23","A",1.446
"Naaa","A",1.442
"Os9","A",1.44
"Pmm1","A",1.437
"Casq2","A",1.437
"Dsc2","A",1.435
"Srd5a2","A",1.435
"Donson","A",1.428
"Rrp1","A",1.426
"Pld3","A",1.422
"Themis2","A",1.421
"Rcan2","A",1.42
"Loxl1","A",1.418
"Hlf","A",1.418
"Atp13a2","A",1.418
"Hmg20a","A",1.41
"Clptm1","A",1.407
"Kat2a","A",1.406
"Bag3","A",1.405
"Prelp","A",1.404
"Katnb1","A",1.404
"Irf8","A",1.403
"Ahi1","A",1.402
"Relb","A",1.398
"F2r","A",1.395
"Lyl1","A",1.393
"Crat","A",1.392
"Tapbp","A",1.388
"Ap2a1","A",1.387
"Tead4","A",1.38
"Mvp","A",1.379
"Cfap57","A",1.372
"Pcca","A",1.372
"Snapc2","A",1.371
"Acer2","A",1.369
"Lmf2","A",1.367
"Cx3cl1","A",1.366
"Prss30","A",1.359
"Atoh8","A",1.359
"Pltp","A",1.354
"Pygl","A",1.353
"Man2b2","A",1.353
"Mfsd10","A",1.35
"Rtp3","A",1.35
"Eps8l2","A",1.35
"Ltbp4","A",1.347
"Cog1","A",1.347
"Pfkl","A",1.345
"Polr2a","A",1.343
